종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
005300,롯데칠성,"159,500","-1,000","0.62","6,918,339,500","1,479,981,998,000"
011170,롯데케미칼,"184,500","-1,500","0.81","37,485,629,000","6,323,814,805,500"
138040,메리츠금융지주,"42,200","3,550","9.18","38,254,597,300","5,383,530,888,400"
008560,메리츠증권,"6,270","390","6.63","21,114,056,400","3,856,304,430,330"
000060,메리츠화재,"49,600","3,150","6.78","15,205,018,250","5,510,761,872,000"
009900,명신산업,"15,800","200","1.28","8,215,475,900","829,028,101,400"
006800,미래에셋증권,"6,710","80","1.21","7,311,671,460","4,128,773,097,680"
003850,보령,"9,420","110","1.18","1,676,476,630","647,059,800,000"
006400,삼성SDI,"629,000","5,000","0.80","151,456,711,280","43,252,889,370,000"
028260,삼성물산,"117,000","0","0.00","38,130,370,500","21,865,788,477,000"
207940,삼성바이오로직스,"811,000","8,000","1.00","48,961,582,630","57,722,114,000,000"
032830,삼성생명,"70,700","-300","0.42","15,790,395,500","14,140,000,000,000"
018260,삼성에스디에스,"121,500","-2,500","2.02","16,163,074,500","9,401,402,700,000"
028050,삼성엔지니어링,"23,850","-50","0.21","15,755,177,900","4,674,600,000,000"
009150,삼성전기,"144,500","-500","0.34","58,337,255,000","10,793,239,072,000"
005930,삼성전자,"60,500","0","0.00","972,246,984,400","361,171,844,275,000"
010140,삼성중공업,"5,090","-30","0.59","12,877,745,930","4,479,200,000,000"
016360,삼성증권,"33,750","-100","0.30","7,264,397,150","3,013,875,000,000"
029780,삼성카드,"30,100","-200","0.66","2,612,106,150","3,487,352,619,100"
000810,삼성화재,"201,000","500","0.25","13,290,904,000","9,522,342,237,000"
004490,세방전지,"45,400","0","0.00","2,076,445,200","635,600,000,000"
068270,셀트리온,"168,000","1,500","0.90","51,949,843,000","23,655,275,280,000"
004170,신세계,"232,500","-3,000","1.27","17,188,410,000","2,289,004,582,500"
031430,신세계인터내셔날,"24,700","-900","3.52","6,177,991,000","881,790,000,000"
019170,신풍제약,"20,950","100","0.48","3,409,509,050","1,110,035,540,500"
055550,신한지주,"40,050","50","0.12","49,404,620,700","20,376,834,003,450"
003410,쌍용C&E,"5,400","-30","0.55","3,175,604,390","2,720,841,813,000"
112610,씨에스윈드,"73,400","6,400","9.55","103,664,838,100","3,095,380,980,200"
002790,아모레G,"37,300","-250","0.67","13,448,681,000","3,075,690,114,000"
090430,아모레퍼시픽,"140,000","-4,000","2.78","51,561,622,500","8,188,986,260,000"
020560,아시아나항공,"13,800","-200","1.43","3,859,576,450","1,026,882,343,200"
010780,아이에스동서,"35,050","800","2.34","11,423,438,300","1,082,785,840,300"
137310,에스디바이오센서,"30,700","50","0.16","6,521,172,850","3,204,568,937,100"
005850,에스엘,"26,050","1,000","3.99","6,526,437,700","1,209,983,946,000"
012750,에스원,"58,100","-200","0.34","3,506,661,300","2,207,752,241,800"
036570,엔씨소프트,"449,000","3,000","0.67","38,566,628,000","9,857,355,878,000"
111770,영원무역,"43,900","100","0.23","4,741,743,050","1,945,273,445,200"
000670,영풍,"617,000","2,000","0.33","2,009,999,000","1,136,538,680,000"
007310,오뚜기,"457,500","1,500","0.33","941,637,000","1,833,582,225,000"
271560,오리온,"119,000","1,000","0.85","12,999,121,500","4,704,799,708,000"
001800,오리온홀딩스,"15,100","-200","1.31","816,192,800","945,945,872,200"
316140,우리금융지주,"12,350","0","0.00","34,951,162,900","8,991,547,780,150"
000100,유한양행,"54,400","-500","0.91","22,568,398,800","3,983,792,294,400"
139480,이마트,"98,600","-1,100","1.10","15,547,008,200","2,748,555,753,400"
020150,일진머티리얼즈,"58,500","-1,000","1.68","22,517,889,800","2,697,483,847,500"
271940,일진하이솔루스,"31,650","250","0.80","1,610,898,500","1,149,312,463,500"
030000,제일기획,"22,200","-50","0.22","4,872,443,800","2,553,915,195,000"
185750,종근당,"83,700","100","0.12","1,731,998,500","1,003,398,780,600"
013890,지누스,"38,650","450","1.18","2,620,109,200","730,511,127,400"
035720,카카오,"61,500","-400","0.65","136,105,781,700","27,392,738,800,500"
323410,카카오뱅크,"27,600","-200","0.72","55,063,276,050","13,157,765,581,200"
377300,카카오페이,"67,700","500","0.74","63,636,651,300","9,004,291,387,900"
381970,케이카,"13,150","600","4.78","15,674,650,500","632,337,908,950"
192820,코스맥스,"74,200","-1,100","1.46","10,407,348,000","842,133,567,800"
120110,코오롱인더,"44,350","650","1.49","5,490,800,650","1,220,471,685,850"
021240,코웨이,"54,300","-1,200","2.16","11,394,324,800","4,007,319,311,700"
284740,쿠쿠홈시스,"29,650","-250","0.84","352,594,200","665,266,834,500"
259960,크래프톤,"171,500","500","0.29","26,706,815,500","8,417,484,967,500"
039490,키움증권,"93,700","0","0.00","4,717,686,600","2,456,768,368,100"
003240,태광산업,"728,000","-1,000","0.14","281,285,000","810,555,200,000"
028670,팬오션,"5,410","-70","1.28","12,317,071,570","2,892,021,059,920"
047050,포스코인터내셔널,"21,250","0","0.00","11,329,471,700","2,621,721,916,250"
003670,포스코케미칼,"193,500","-1,000","0.51","131,660,207,500","14,989,133,070,000"
103140,풍산,"33,050","300","0.92","5,162,689,900","926,202,387,900"
086790,하나금융지주,"48,100","300","0.63","61,223,795,031","14,232,957,195,600"
039130,하나투어,"58,800","-1,000","1.67","10,332,560,300","943,104,078,000"
352820,하이브,"173,000","-1,500","0.86","29,119,504,000","7,154,135,951,000"
000080,하이트진로,"25,000","-600","2.34","5,329,388,200","1,753,340,275,000"
036460,한국가스공사,"32,400","300","0.93","12,384,234,100","2,990,941,200,000"
071050,한국금융지주,"58,700","200","0.34","12,517,229,100","3,271,115,730,400"
000240,한국앤컴퍼니,"13,500","0","0.00","686,700,450","1,281,625,740,000"
015760,한국전력,"19,800","250","1.28","47,491,188,750","12,710,888,724,600"
009540,한국조선해양,"76,000","600","0.80","15,094,392,700","5,378,756,816,000"
161890,한국콜마,"42,500","-1,050","2.41","5,120,050,250","972,450,150,000"
161390,한국타이어앤테크놀로지,"31,650","-200","0.63","7,099,250,600","3,920,645,933,850"
047810,한국항공우주,"46,350","250","0.54","62,863,979,450","4,517,971,209,450"
008930,한미사이언스,"31,050","-300","0.96","2,440,165,350","2,130,765,388,200"
128940,한미약품,"266,000","500","0.19","8,262,172,500","3,276,580,286,000"
009240,한샘,"49,000","500","1.03","2,390,750,350","1,153,162,472,000"
020000,한섬,"27,050","-450","1.64","1,344,827,400","666,241,500,000"
105630,한세실업,"15,650","-500","3.10","2,664,778,150","626,000,000,000"
014680,한솔케미칼,"198,000","2,000","1.02","8,923,791,500","2,244,368,610,000"
018880,한온시스템,"8,720","-40","0.46","5,469,739,480","4,654,736,000,000"
009420,한올바이오파마,"17,400","-250","1.42","4,943,416,350","908,987,101,200"
300720,한일시멘트,"11,250","-100","0.88","873,784,600","779,192,325,000"
051600,한전KPS,"34,350","350","1.03","5,475,054,450","1,545,750,000,000"
052690,한전기술,"61,800","-300","0.48","23,777,191,300","2,361,996,000,000"
180640,한진칼,"37,500","-550","1.45","3,209,724,900","2,503,567,350,000"
000880,한화,"27,550","350","1.29","8,003,993,850","2,065,113,149,250"
088350,한화생명,"2,750","-5","0.18","3,678,974,870","2,388,457,500,000"
009830,한화솔루션,"48,100","1,350","2.89","257,232,162,400","9,200,495,705,700"
272210,한화시스템,"11,600","200","1.75","9,641,682,300","2,191,464,912,400"
012450,한화에어로스페이스,"78,700","5,100","6.93","136,489,025,700","3,984,581,000,000"
000720,현대건설,"37,400","50","0.13","26,650,016,750","4,164,705,611,000"
005440,현대그린푸드,"7,020","-20","0.28","665,596,050","685,885,463,640"
086280,현대글로비스,"170,500","4,500","2.71","15,087,951,000","6,393,750,000,000"
042670,현대두산인프라코어,"7,680","-100","1.29","22,416,604,300","1,518,822,996,480"
064350,현대로템,"27,350","300","1.11","78,424,790,500","2,985,041,713,550"
012330,현대모비스,"213,500","-4,000","1.84","57,013,859,809","20,129,867,569,000"
010620,현대미포조선,"77,400","1,800","2.38","34,674,301,800","3,091,522,332,600"
069960,현대백화점,"62,700","-200","0.32","4,058,184,000","1,467,333,050,700"
017800,현대엘리베이,"29,300","50","0.17","2,158,415,550","1,195,885,096,300"
