,단축코드,한글 종목약명,상장일
372,006400,삼성SDI,1979/02/27
373,006660,삼성공조,1987/11/28
374,02826K,삼성물산우B,2015/09/15
375,028260,삼성물산,2014/12/18
376,207940,삼성바이오로직스,2016/11/10
377,032830,삼성생명,2010/05/12
378,018260,삼성에스디에스,2014/11/14
379,028050,삼성엔지니어링,1996/12/24
380,009155,삼성전기우,1989/10/10
381,009150,삼성전기,1979/02/27
382,005935,삼성전자우,1989/09/25
383,005930,삼성전자,1975/06/11
384,001360,삼성제약,1975/07/04
385,010145,삼성중공우,1994/11/22
386,010140,삼성중공업,1994/01/28
387,016360,삼성증권,1988/03/28
388,068290,삼성출판사,2002/08/05
389,029780,삼성카드,2007/06/27
390,000815,삼성화재우,1990/04/10
391,000810,삼성화재,1975/06/30
392,006110,삼아알미늄,1980/12/05
393,145995,삼양사우,2011/12/05
394,145990,삼양사,2011/12/05
395,003230,삼양식품,1975/06/30
396,002170,삼양통상,1989/11/10
397,272550,삼양패키징,2017/11/29
398,000075,삼양홀딩스우,1992/02/21
399,000070,삼양홀딩스,1968/12/27
400,002810,삼영무역,1988/03/28
401,005680,삼영전자,1976/12/28
402,003720,삼영화학,1976/06/30
403,023000,삼원강재,2011/07/22
404,004380,삼익THK,1989/09/26
405,002450,삼익악기,1988/09/30
406,004440,삼일씨엔에스,2016/03/30
407,000520,삼일제약,1985/05/29
408,009770,삼정펄프,2006/10/17
409,005500,삼진제약,1988/06/18
410,004690,삼천리,1976/12/23
411,010960,삼호개발,2005/05/12
412,004450,삼화왕관,1976/05/28
413,009470,삼화전기,1986/11/24
414,011230,삼화전자,1987/05/25
415,001820,삼화콘덴서,1976/06/26
416,000390,삼화페인트,1993/09/10
417,001290,상상인증권,1988/09/23
418,041650,상신브레이크,2004/10/27
419,075180,새론오토모티브,2005/10/21
420,007540,샘표,1976/06/29
421,248170,샘표식품,2016/08/09
422,007860,서연,1989/09/09
423,200880,서연이화,2014/08/08
424,017390,서울가스,1995/08/18
425,004415,서울식품우,1989/05/22
426,004410,서울식품,1973/12/28
427,021050,서원,1996/01/30
428,008490,서흥,1990/03/27
429,007610,선도전기,1989/11/30
430,002820,SUN&L,1976/05/22
431,136490,선진,2011/02/16
432,014915,성문전자우,1990/03/24
433,014910,성문전자,1990/03/24
434,003080,성보화학,1976/12/23
435,004985,성신양회우,1988/12/21
436,004980,성신양회,1976/06/30
437,011300,성안,1995/11/10
438,000180,성창기업지주,1976/06/02
439,002420,세기상사,1968/12/27
440,004365,세방우,1989/10/21
441,004360,세방,1977/05/19
442,004490,세방전지,1987/11/28
443,001430,세아베스틸지주,1991/03/12
444,306200,세아제강,2018/10/05
445,003030,세아제강지주,1969/05/13
446,019440,세아특수강,2011/06/01
447,058650,세아홀딩스,2001/07/30
448,013000,세우글로벌,1989/09/05
449,091090,세원이앤씨,2006/07/31
450,021820,세원정공,1996/07/03
451,067830,세이브존I&C,2002/07/25
452,033530,세종공업,2002/09/25
453,075580,세진중공업,2015/11/30
454,027970,세하,1996/07/03
455,308170,센트랄모텍,2019/11/25
456,068270,셀트리온,2018/02/09
457,33637K,솔루스첨단소재1우,2019/10/18
458,33637L,솔루스첨단소재2우B,2019/10/18
459,336370,솔루스첨단소재,2019/10/18
460,248070,솔루엠,2021/02/02
461,004430,송원산업,1977/06/25
462,126720,수산인더스트리,2022/08/01
463,017550,수산중공업,1991/08/30
464,026890,스틱인베스트먼트,1997/11/25
465,134790,시디즈,2011/01/25
466,016590,신대양제지,1995/12/21
467,029530,신도리코,1996/12/24
468,004970,신라교역,1976/06/30
469,011930,신성이엔지,1996/07/31
470,005390,신성통상,1975/12/22
471,034300,신세계건설,2002/06/17
472,004170,신세계,1985/08/19
473,035510,신세계 I&C,2006/05/18
474,031430,신세계인터내셔날,2011/07/14
475,031440,신세계푸드,2010/04/29
476,006880,신송홀딩스,2013/11/21
477,005800,신영와코루,1976/12/28
478,001725,신영증권우,1988/08/16
479,001720,신영증권,1987/08/24
480,009270,신원,1988/08/24
481,002700,신일전자,1975/09/30
482,002870,신풍,1976/06/30
483,019175,신풍제약우,1990/01/20
484,019170,신풍제약,1990/01/20
485,055550,신한지주,2001/09/10
486,404990,신한서부티엔디리츠,2021/12/10
487,293940,신한알파리츠,2018/08/08
488,004080,신흥,1991/02/08
489,102280,쌍방울,2008/06/10
490,003410,쌍용C&E,1975/05/03
491,003620,쌍용차,1975/05/29
492,004770,써니전자,1987/04/22
493,015540,쎌마테라퓨틱스,1989/09/02
494,403550,쏘카,2022/08/22
495,004920,씨아이테크,1989/11/30
496,112610,씨에스윈드,2014/11/27
497,000120,CJ대한통운,1956/07/02
498,079160,CJ CGV,2004/12/24
499,097955,CJ제일제당 우,2007/09/28
500,097950,CJ제일제당,2007/09/28
501,008700,아남전자,1984/08/11
502,002795,아모레G우,1989/06/30
503,00279K,아모레G3우(전환),2019/12/26
504,002790,아모레G,1973/04/30
505,090435,아모레퍼시픽우,2006/06/29
506,090430,아모레퍼시픽,2006/06/29
507,002030,아세아,1974/06/03
508,183190,아세아시멘트,2013/11/06
509,002310,아세아제지,1988/12/15
510,012170,아센디오,1989/12/20
511,267850,아시아나IDT,2018/11/23
512,020560,아시아나항공,2008/03/28
513,122900,아이마켓코리아,2010/07/30
514,010780,아이에스동서,1986/01/27
515,139990,아주스틸,2021/08/20
516,001780,알루코,2007/06/07
517,018250,애경산업,2018/03/22
518,161000,애경케미칼,2012/09/17
519,011090,에넥스,1995/07/08
520,137310,에스디바이오센서,2021/07/16
521,034120,SBS,2003/06/25
522,005850,에스엘,1988/11/08
523,010580,에스엠벡셀,1994/12/27
524,012750,에스원,1996/01/30
525,004060,SG세계물산,1976/04/19
526,006125,SK디스커버리우,1989/11/24
527,006120,SK디스커버리,1976/06/29
528,068400,SK렌터카,2012/07/27
529,302440,SK바이오사이언스,2021/03/18
530,326030,SK바이오팜,2020/07/02
531,000660,SK하이닉스,1996/12/26
532,023960,에쓰씨엔지니어링,1997/06/23
533,298690,에어부산,2018/12/27
534,078520,에이블씨엔씨,2011/09/07
535,015260,에이엔피,1988/01/18
536,140910,에이리츠,2011/07/14
537,039570,HDC랩스,2015/09/24
538,089470,HDC현대EP,2006/09/25
539,267250,HD현대,2017/05/10
540,082740,HSD엔진,2011/01/04
541,003580,HLB글로벌,1990/03/23
542,011200,HMM,1995/10/05
543,003060,에이프로젠바이오로직스,1984/10/19
544,007460,에이프로젠,1995/07/08
545,244920,에이플러스에셋,2020/11/20
546,036570,엔씨소프트,2003/05/22
547,380440,엔에이치스팩19호,2021/05/21
548,400760,NH올원리츠,2021/11/18
549,005945,NH투자증권우,1988/09/13
550,005940,NH투자증권,1975/09/30
551,085310,엔케이,2008/01/24
552,900140,엘브이엠씨홀딩스,2010/11/30
553,229640,LS전선아시아,2016/09/22
554,108675,LX하우시스우,2009/04/20
555,108670,LX하우시스,2009/04/20
556,38380K,LX홀딩스1우,2021/05/27
557,383800,LX홀딩스,2021/05/27
558,037560,LG헬로비전,2012/11/09
559,097520,엠씨넥스,2021/07/06
560,014440,영보화학,1997/08/27
561,111770,영원무역,2009/07/30
562,009970,영원무역홀딩스,1988/11/07
563,003520,영진약품,1973/06/25
564,000670,영풍,1976/06/12
565,006740,영풍제지,1996/07/03
566,012280,영화금속,1990/01/25
567,012160,영흥,2010/01/25
568,015360,예스코홀딩스,1996/12/24
569,007310,오뚜기,1994/08/12
570,002630,오리엔트바이오,1976/12/28
571,271560,오리온,2017/07/07
572,001800,오리온홀딩스,1975/06/27
573,037270,YG PLUS,2003/08/01
574,011690,와이투솔루션,1995/12/21
575,316140,우리금융지주,2019/02/13
576,010050,우리종금,1974/09/11
577,006980,우성,1988/10/10
578,017370,우신시스템,2002/05/28
579,105840,우진,2010/07/26
580,010400,우진아이엔에스,2018/09/14
581,049800,우진플라임,2006/05/24
582,016880,웅진,1994/11/05
583,095720,웅진씽크빅,2007/05/31
584,005820,원림,1990/04/20
585,010600,웰바이오텍,1997/07/18
586,008600,윌비스,1989/07/28
587,014830,유니드,2004/12/03
588,446070,유니드비티플러스,2022/11/28
589,047400,유니온머티리얼,2009/09/29
590,000910,유니온,1996/07/03
591,011330,유니켐,1989/12/14
592,077500,유니퀘스트,2004/08/05
593,002920,유성기업,1988/10/10
594,000700,유수홀딩스,1956/03/03
595,003475,유안타증권우,1989/03/22
596,003470,유안타증권,1988/01/21
597,072130,유엔젤,2003/07/01
598,000225,유유제약1우,1990/01/05
599,000227,유유제약2우B,2000/06/20
600,000220,유유제약,1975/11/18
601,001200,유진투자증권,1987/08/24
602,000105,유한양행우,1995/02/21
603,000100,유한양행,1962/11/01
604,003465,유화증권우,1990/02/20
605,003460,유화증권,1987/08/24
606,008730,율촌화학,1988/08/30
607,008250,이건산업,1988/10/21
608,025820,이구산업,1995/08/18
609,214320,이노션,2015/07/17
610,088260,이리츠코크렙,2018/06/27
611,139480,이마트,2011/06/10
612,007660,이수페타시스,2003/10/07
613,005950,이수화학,1988/04/28
614,015020,이스타코,1988/12/23
615,093230,이아이디,2007/11/01
616,074610,이엔플러스,2003/12/23
617,102460,이연제약,2010/06/10
618,084680,이월드,2005/07/26
619,350520,이지스레지던스리츠,2020/08/05
620,334890,이지스밸류리츠,2020/07/16
621,000760,이화산업,1994/04/29
622,014990,인디에프,1989/06/20
623,101140,인바이오젠,2008/04/02
624,006490,인스코비,1985/01/17
625,023800,인지컨트롤스,1997/06/23
626,034590,인천도시가스,2006/11/07
627,129260,인터지스,2011/12/16
628,023810,인팩,2004/09/21
629,249420,일동제약,2016/08/31
630,000230,일동홀딩스,1975/06/28
631,013360,일성건설,1989/12/02
632,003120,일성신약,1985/01/14
633,003200,일신방직,1973/05/23
634,007110,일신석재,1986/03/04
635,007575,일양약품우,1989/12/21
636,007570,일양약품,1974/08/28
637,008500,일정실업,1994/08/12
638,081000,일진다이아,2004/12/22
639,020760,일진디스플,2002/01/09
640,020150,일진머티리얼즈,2011/03/04
641,103590,일진전기,2008/08/01
642,271940,일진하이솔루스,2021/09/01
643,015860,일진홀딩스,1990/03/22
644,226320,잇츠한불,2015/12/28
645,317400,자이에스앤디,2019/11/06
646,033240,자화전자,1999/01/06
647,000950,전방,1968/10/21
648,348950,제이알글로벌리츠,2020/08/07
649,194370,제이에스코퍼레이션,2016/02/04
650,025620,제이준코스메틱,1995/07/08
651,030000,제일기획,1998/03/03
652,271980,제일약품,2017/07/17
653,001560,제일연마,2005/12/09
654,002620,제일파마홀딩스,1988/01/20
